logo_url,IATAQR,Full Name,Country,Founded,Started Operations,Group / Part of,Headquarters,Main Hub,Fleet Size,Average Fleet Age 1,Official Site,Airline Name,IATASQ,Predecessors,Subsidiaries,Base / Main Hub,IATAEK,IATANH,Predecessor,Bases,IATACX,IATAJL,IATATK,IATABR,Focus Cities,IATAAF,IATALX
https://assets.planespotters.net/files/airlines/8/qatar-airways_59d08b.svg,CallsignQATARI,Qatar Airways Company Q.C.S.C.,Qatar,22/11/1993,20/01/1994,Qatar Airways Group,Doha,Doha Hamad International (DOH / OTHH),227 Aircraft                    (+ 11 On Order/Planned),9.7 Years,qatarairways.com,Qatar Airways,,,,,,,,,,,,,,,
https://assets.planespotters.net/files/airlines/5/singapore-airlines_921743.svg,,,Singapore,01/05/1947,,,,,158 Aircraft                    (+ 5 On Order/Planned),7.9 Years,singaporeair.com,Singapore Airlines,CallsignSINGAPORE,"Malaysia-Singapore Airlines (ML / MSA)


 SilkAir (MI / SLK)","Air India
                                                                                                                                    (202 aircraft)
                                                            

 Scoot
                                                                                                                                    (55 aircraft)
                                                            

 SilkAir


 Singapore Airlines Cargo


 Tradewinds


 Vistara",Singapore Changi (SIN / WSSS),,,,,,,,,,,
https://assets.planespotters.net/files/airlines/4/emirates_opk.jpg,,Emirates Airline,United Arab Emirates,25/03/1985,25/10/1985,The Emirates Group,Dubai,Dubai International (DXB / OMDB),260 Aircraft                    (+ 22 On Order/Planned),10.9 Years,emirates.com,Emirates Airlines,,,,,CallsignEMIRATES,,,,,,,,,,
https://assets.planespotters.net/files/airlines/8/all-nippon-airways_705169.svg,,All Nippon Airways Company Limited,Japan,27/12/1952,Dec 1957,ANA Group,Tokyo,,239 Aircraft                    (+ 13 On Order/Planned),11.1 Years,ana.co.jp,All Nippon Airways,,,,,,CallsignALL NIPPON,Japan Helicopter and Aeroplane Transports Company,"Tokyo Haneda (HND / RJTT)                                                    

 Tokyo Narita (NRT / RJAA)                                                    

 Osaka Itami (ITM / RJOO)                                                    

 Osaka Kansai (KIX / RJBB)",,,,,,,
https://assets.planespotters.net/files/airlines/8/cathay-pacific_84333f.svg,,Cathay Pacific Airways Limited,Hong Kong,24/09/1946,,Cathay Group,Hong Kong,Hong Kong Chek Lap Kok (HKG / VHHH),179 Aircraft,12 Years,cathaypacific.com,Cathay Pacific Airways,,,,,,,,,CallsignCATHAY,,,,,,
https://assets.planespotters.net/files/airlines/7/japan-airlines_2decbc_opr.png,,Japan Airlines Company Limited,Japan,01/08/1951,25/10/1951,JAL Group,Tokyo,,149 Aircraft                    (+ 2 On Order/Planned),11.9 Years,jal.com,Japan Airlines,,,,,,,Japan Airlines Domestic (JL / JFL),"Osaka Itami (ITM / RJOO)                                                    

 Osaka Kansai (KIX / RJBB)                                                    

 Nagoya Chubu Centrair (NGO / RJGG)                                                    

 Tokyo Haneda (HND / RJTT)                                                    

 Tokyo Narita (NRT / RJAA)",,CallsignJAPANAIR,,,,,
https://assets.planespotters.net/files/airlines/6/turkish-airlines_da1e4f_opk.jpg,,Türk Hava Yollari A.O.,Türkiye,20/05/1933,,,Istanbul Ataturk (ISL / LTBA),Istanbul New Airport (IST / LTFM),374 Aircraft                    (+ 11 On Order/Planned),9.1 Years,turkishairlines.com,Turkish Airlines,,,"AJet
                                                                                                                                    (85 aircraft)
                                                            

 AnadoluJet


 SunExpress
                                                                                                                                    (72 aircraft)
                                                            

 SunExpress Germany",,,,Turkish Air Transport (ZH / THT),"Antalya (AYT / LTAI)                                                    

 Ankara Esenboga (ESB / LTAC)                                                    

 Istanbul Sabiha Gökçen International (SAW / LTFJ)",,,CallsignTURKISH,,,,
https://assets.planespotters.net/files/airlines/9/eva-airways_516c2c_opr.png,,EVA Airways Corporation,Taiwan,08/03/1989,01/07/1991,Evergreen Group,Taoyuan City,Taipei Taoyuan (TPE / RCTP),84 Aircraft                    (+ 5 On Order/Planned),9 Years,evaair.com,EVA Air,,,,,,,,,,,,CallsignEVA,Bangkok Suvarnabhumi (BKK / VTBS),,
https://assets.planespotters.net/files/airlines/6/air-france_45ae1c.svg,,Air France-KLM,France,07/10/1933,,Air France-KLM,Paris Charles De Gaulle (CDG / LFPG),,226 Aircraft                    (+ 2 On Order/Planned),12.6 Years,airfrance.com,Air France,,"Air France Air Inter Express (AF)


 Air France Asie (AF)


 Air France Express (AF)


 Air Inter Europe (IT / ITF)","Air France Air Inter Express


 Air France Asie


 Air France Express


 Euroberlin",,,,,"Paris Orly (ORY / LFPO)                                                    

 Pointe-a-Pitre Le Raizet (PTP / TFFR)",,,,,"Lyon Saint Exupery (LYS / LFLL)                                                    

 Marseille Provence (MRS / LFML)",CallsignAIRFRANS,
https://assets.planespotters.net/files/airlines/9/swiss_8c838e.svg,,Swiss International Air Lines Ltd.,Switzerland,31/03/2002,,Lufthansa Group,,,89 Aircraft                    (+ 6 On Order/Planned),11.8 Years,swiss.com,Swiss International Air Lines,,"Crossair (LX / CRX)


 Crossair Europe (QE / ECC)


 Swiss Global (LX / SWU)


 Swiss Sun (LX / SWR)",Swiss Sun,Zurich Kloten (ZRH / LSZH),,,,,,,,,Geneva Cointrin (GVA / LSGG),,CallsignSWISS
