Registration,Aircraft_Type,Configuration,Delivery_Date,Delivery_Status,Remarks,Aircraft_Name,Age (Years),Page,Airline,Standardized_Aircraft_Type,Airline ID
A7-AHA,Airbus A320-232,C12Y132,11 Dec 2009,Delivered,lsd,الجميل,15.2,1,Qatar Airways,Airbus A320,1
A7-AHB,Airbus A320-232,C12Y132,11 Dec 2009,Delivered,,المرونه,15.2,1,Qatar Airways,Airbus A320,1
A7-AHC,Airbus A320-232,C12Y132,01 Feb 2010,Delivered,lsd,دعسه,15.1,1,Qatar Airways,Airbus A320,1
A7-AHD,Airbus A320-232,C12Y132,28 Sep 2010,Delivered,lsd,ام قرن,14.4,1,Qatar Airways,Airbus A320,1
A7-AHE,Airbus A320-232,C12Y132,03 Nov 2010,Delivered,lsd,تنبل,14.3,1,Qatar Airways,Airbus A320,1
A7-AHG,Airbus A320-232,C12Y132,10 Mar 2011,Delivered,"lsd,""25 Years Of Excellence""sticker",عفجان,13.9,1,Qatar Airways,Airbus A320,1
A7-AHH,Airbus A320-232,C12Y132,25 May 2011,Delivered,"lsd,""25 Years Of Excellence""sticker",مروب,13.8,1,Qatar Airways,Airbus A320,1
A7-AHI,Airbus A320-232,C12Y132,12 Jul 2011,Delivered,lsd,مكين,13.6,1,Qatar Airways,Airbus A320,1
A7-AHJ,Airbus A320-232,C12Y132,08 Aug 2011,Delivered,lsd,اصبيحه,13.6,1,Qatar Airways,Airbus A320,1
A7-AHL,Airbus A320-232,C12Y132,29 Aug 2011,Delivered,"lsd,oneworldcs",بوثيله,13.5,1,Qatar Airways,Airbus A320,1
A7-AHO,Airbus A320-232,C12Y120,01 Sep 2011,Delivered,"lsd,oneworldcs",صبحا,13.5,1,Qatar Airways,Airbus A320,1
A7-AHP,Airbus A320-232(WL),C12Y120,18 Oct 2011,Delivered,lsd,الهملة,13.3,1,Qatar Airways,Airbus A320,1
A7-AHQ,Airbus A320-232(WL),C12Y120,21 Dec 2011,Delivered,lsd,نعيجة,13.2,1,Qatar Airways,Airbus A320,1
A7-AHR,Airbus A320-232(WL),C12Y120,19 Jan 2012,Delivered,lsd,عجيرة,13.1,1,Qatar Airways,Airbus A320,1
A7-AHS,Airbus A320-232(WL),C12Y120,20 Feb 2012,Delivered,lsd,مرير,13.0,1,Qatar Airways,Airbus A320,1
A7-AHT,Airbus A320-232(WL),C12Y120,10 Apr 2012,Delivered,"lsd,""25 Years Of Excellence""sticker",لخبيب,12.9,1,Qatar Airways,Airbus A320,1
A7-AHU,Airbus A320-232(WL),C12Y120,24 May 2012,Delivered,lsd,الحصين,12.8,1,Qatar Airways,Airbus A320,1
